"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-03","16.33",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"66",",,X","46",",,X","   10",",,X","   20",",,X","23.0",",,X","28.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-04","14.54",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"66",",,X","47",",,X","   20",",,X","   20",",,X","21.0",",,X","25.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-05","12.75",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"71",",,X","48",",,X","  360",",,X","  360",",,X","17.9",",,X","21.9",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-06","11.41",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"75",",,X","46",",,X","   20",",,X","   20",",,X","17.0",",,X","21.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-07","2.91",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"75",",,X","46",",,X","   30",",,X","   10",",,X","12.1",",,X","14.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-08","4.25",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"70",",,X","46",",,X","  210",",,X","  230",",,X","8.9",",,X","12.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-09","3.58",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"61",",,X","48",",,X","  170",",,X","  170",",,X","8.9",",,X","10.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-10","3.13",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"54",",,X","47",",,X","   40",",,X","   40",",,X","8.9",",,X","10.1",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-11","2.91",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"57",",,X","45",",,X","  270",",,X","   60",",,X","8.9",",,X","13.0",",,X"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2012-10-12","10.29",",,X",,,"0.08",",,X,2400","0.0",",,X","0.0",",,X",,,"57",",,X","48",",,X","  220",",,X","  230",",,X","16.1",",,X","21.9",",,X"
